# Appendix 1 of Holdaway et al. 2016 Design of New Zealand's grid -based plot network (Landcare Research contract report),,,,,,,,,,,
# Updated 19 July 2016,,,,,,,,,,,
# Static Master Data for national 8km plot grid,,,,,,,,,,,
# Created by Robert Holdaway 20th April 2016,,,,,,,,,,,
# Column A = plotID,,,,,,,,,,,
"# Columns F-K = ideal gird-based plot location, in NZTM, NZMG and WGS84",,,,,,,,,,,
# Columns B & C = ideal randomised year of measurement for a 5 year measurement cycle for all plots,,,,,,,,,,,
# Columns D & E = ideal randomised year of measurement for a 10 year measurement cycle for all plots,,,,,,,,,,,
"# Column L = regional boundaries based on the New Zealand 2016 12 mile high definition spatial layer, downloaded from Statistics New Zealand on 14 April 2016",,,,,,,,,,,
#,,,,,,,,,,,
PlotID,cycle.year,cycle.code,cycle.year.10yr,cycle.code.10yr,NZMG_Northing,NZMG_Easting,WGS84_Lat,WGS84_Long,NZTM_Northing,NZTM_Easting,Region
AB150,2015,2,2017,4,5597074,2192051,-44.76461436,168.9825351,5035341.64,1282066.156,Otago Region
AB151,2015,2,2017,4,5589074,2192051,-44.83652494,168.9776085,5027334.124,1282072.09,Otago Region
AB152,2018,5,2022,9,5581074,2192051,-44.90843477,168.9726693,5019326.567,1282078.498,Otago Region
AB153,2015,2,2017,4,5573074,2192051,-44.98034385,168.9677173,5011318.969,1282085.379,Otago Region
AB154,2018,5,2022,9,5565074,2192051,-45.05225207,168.9627527,5003311.341,1282092.742,Otago Region
AB155,2015,2,2016,3,5557074,2192051,-45.12415937,168.9577756,4995303.691,1282100.6,Otago Region
AB156,2016,3,2018,5,5549074,2192051,-45.19606566,168.9527859,4987296.029,1282108.962,Otago Region
AB157,2017,4,2021,8,5541074,2192051,-45.26797097,168.9477837,4979288.351,1282117.829,Otago Region
AB158,2016,3,2019,6,5533074,2192051,-45.33987535,168.9427691,4971280.655,1282127.211,Otago Region
AB159,2015,2,2017,4,5525074,2192051,-45.41177871,168.9377419,4963272.948,1282137.109,Southland Region
AB160,2017,4,2020,7,5517074,2192051,-45.483681,168.932702,4955265.235,1282147.518,Southland Region
AB161,2015,2,2017,4,5509074,2192051,-45.55558223,168.9276495,4947257.517,1282158.441,Southland Region
AB162,2014,1,2014,1,5501074,2192051,-45.6274822,168.9225844,4939249.817,1282169.888,Southland Region
AB163,2018,5,2023,10,5493074,2192051,-45.69938078,168.9175067,4931242.147,1282181.867,Southland Region
AB164,2015,2,2017,4,5485074,2192051,-45.77127794,168.9124164,4923234.514,1282194.382,Southland Region
AB165,2015,2,2016,3,5477074,2192051,-45.84317355,168.9073135,4915226.929,1282207.426,Southland Region
AB166,2017,4,2020,7,5469074,2192051,-45.91506761,168.9021979,4907219.394,1282221.007,Southland Region
AB167,2014,1,2014,1,5461074,2192051,-45.98696014,168.8970696,4899211.907,1282235.128,Southland Region
AB168,2018,5,2022,9,5453074,2192051,-46.05885106,168.8919288,4891204.476,1282249.811,Southland Region
AB169,2017,4,2021,8,5445074,2192051,-46.13074045,168.8867754,4883197.095,1282265.043,Southland Region
AB170,2015,2,2017,4,5437074,2192051,-46.2026283,168.8816092,4875189.762,1282280.825,Southland Region
AB171,2017,4,2020,7,5429074,2192051,-46.27451491,168.87643,4867182.445,1282297.153,Southland Region
AB172,2014,1,2015,2,5421074,2192051,-46.34639972,168.8712382,4859175.206,1282314.044,Southland Region
AB173,2015,2,2017,4,5413074,2192051,-46.41828271,168.8660337,4851168.049,1282331.503,Southland Region
AB174,2014,1,2015,2,5405074,2192051,-46.49016383,168.8608164,4843160.978,1282349.534,Southland Region
AB175,2015,2,2016,3,5397074,2192051,-46.562043,168.8555866,4835154.004,1282368.149,Southland Region
AB176,2017,4,2020,7,5389074,2192051,-46.63392031,168.850344,4827147.116,1282387.346,Southland Region
AC136,2015,2,2017,4,5709074,2200051,-43.76120754,169.1494161,5147439.19,1290037.024,West Coast Region
AC137,2017,4,2020,7,5701074,2200051,-43.83312734,169.1447879,5139433.373,1290037.022,West Coast Region
AC138,2017,4,2020,7,5693074,2200051,-43.90504725,169.1401467,5131427.416,1290037.363,West Coast Region
AC139,2014,1,2014,1,5685074,2200051,-43.97696718,169.1354924,5123421.326,1290038.045,West Coast Region
AC140,2016,3,2018,5,5677074,2200051,-44.04888731,169.1308253,5115415.089,1290039.099,West Coast Region
AC141,2017,4,2020,7,5669074,2200051,-44.12080748,169.1261455,5107408.718,1290040.541,Otago Region
AC142,2014,1,2015,2,5661074,2200051,-44.19272762,169.1214532,5099402.226,1290042.384,Otago Region
AC143,2017,4,2020,7,5653074,2200051,-44.26464796,169.1167486,5091395.586,1290044.651,Otago Region
AC144,2018,5,2023,10,5645074,2200051,-44.33656809,169.1120317,5083388.844,1290047.348,Otago Region
AC145,2018,5,2022,9,5637074,2200051,-44.40848789,169.1073027,5075382.013,1290050.488,Otago Region
AC146,2016,3,2018,5,5629074,2200051,-44.4804072,169.102562,5067375.115,1290054.117,Otago Region
AC147,2017,4,2021,8,5621074,2200051,-44.55232565,169.0978094,5059368.19,1290058.216,Otago Region
AC148,2014,1,2014,1,5613074,2200051,-44.6242431,169.093045,5051361.252,1290062.795,Otago Region
AC149,2015,2,2017,4,5605074,2200051,-44.69615938,169.0882689,5043354.323,1290067.87,Otago Region
AC150,2017,4,2021,8,5597074,2200051,-44.76807504,169.0834805,5035347.338,1290073.402,Otago Region
AC151,2016,3,2018,5,5589074,2200051,-44.83999004,169.0786798,5027340.303,1290079.395,Otago Region
AC152,2017,4,2021,8,5581074,2200051,-44.9119043,169.0738668,5019333.226,1290085.85,Otago Region
AC153,2016,3,2018,5,5573074,2200051,-44.98381777,169.0690414,5011326.113,1290092.766,Otago Region
AC154,2014,1,2015,2,5565074,2200051,-45.05573038,169.0642038,5003318.971,1290100.155,Otago Region
AC155,2015,2,2017,4,5557074,2200051,-45.12764205,169.059354,4995311.812,1290108.035,Otago Region
AC156,2016,3,2018,5,5549074,2200051,-45.19955271,169.0544922,4987304.642,1290116.415,Otago Region
AC157,2016,3,2018,5,5541074,2200051,-45.27146236,169.0496181,4979297.463,1290125.292,Otago Region
AC158,2016,3,2019,6,5533074,2200051,-45.34337101,169.044732,4971290.271,1290134.676,Southland Region
AC159,2015,2,2017,4,5525074,2200051,-45.41527862,169.0398338,4963283.074,1290144.568,Southland Region
AC160,2018,5,2023,10,5517074,2200051,-45.48718511,169.0349233,4955275.879,1290154.964,Southland Region
AC161,2016,3,2019,6,5509074,2200051,-45.55909052,169.0300006,4947268.682,1290165.868,Southland Region
AC162,2014,1,2014,1,5501074,2200051,-45.63099463,169.0250656,4939261.508,1290177.29,Southland Region
AC163,2015,2,2017,4,5493074,2200051,-45.70289734,169.0201185,4931254.367,1290189.237,Otago Region
AC164,2015,2,2017,4,5485074,2200051,-45.77479863,169.0151593,4923247.264,1290201.715,Otago Region
AC165,2018,5,2023,10,5477074,2200051,-45.84669829,169.0101878,4915240.22,1290214.71,Otago Region
AC166,2017,4,2020,7,5469074,2200051,-45.91859635,169.0052039,4907233.233,1290228.23,Southland Region
AC167,2015,2,2017,4,5461074,2200051,-45.99049283,169.0002077,4899226.301,1290242.282,Southland Region
AC168,2017,4,2020,7,5453074,2200051,-46.06238779,168.9951999,4891219.418,1290256.921,Southland Region
AC169,2016,3,2019,6,5445074,2200051,-46.13428121,168.9901799,4883212.586,1290272.106,Southland Region
AC170,2015,2,2016,3,5437074,2200051,-46.20617312,168.9851475,4875205.803,1290287.834,Southland Region
AC171,2017,4,2020,7,5429074,2200051,-46.27806378,168.9801025,4867199.035,1290304.095,Southland Region
AC172,2016,3,2018,5,5421074,2200051,-46.34995261,168.9750453,4859192.352,1290320.913,Southland Region
AC173,2017,4,2020,7,5413074,2200051,-46.42183957,168.9699759,4851185.758,1290338.293,Southland Region
AC174,2015,2,2016,3,5405074,2200051,-46.49372458,168.9648941,4843179.26,1290356.239,Southland Region
AC175,2018,5,2023,10,5397074,2200051,-46.56560763,168.9598003,4835172.862,1290374.771,Southland Region
AC176,2017,4,2020,7,5389074,2200051,-46.6374888,168.9546943,4827166.554,1290393.885,Southland Region
